# SETFOS Semiconducting Thin Film Optics Simulator (c)
# Example material file
#
# Aluminum from Centurioni E, APPLIED OPTICS   Volume: 44   Issue: 35   Pages: 7532-7539   Published: DEC 10 2005
# wavelength/nm	n	k
#
160	7.65e-2	1.7
165.3	8.2e-2	1.81
171	8.8e-2	1.9
177.1	9.46e-2	1.98
183.7	0.102	2.07
190.7	0.111	2.17
198.4	0.119	2.28
206.6	0.13	2.39
215.6	0.141	2.51
225.4	0.155	2.64
236.2	0.172	2.79
248	0.19	2.94
261	0.209	3.11
275.5	0.233	3.3
291.7	0.261	3.51
300	0.276	3.61
310	0.294	3.74
317.9	0.31	3.84
326.3	0.326	3.95
335.1	0.344	4.06
344.4	0.364	4.17
350	0.375	4.24
354.2	0.385	4.3
364.7	0.407	4.43
375.7	0.432	4.56
387.5	0.46	4.71
400	0.49	4.86
413.3	0.523	5.02
427.5	0.558	5.2
442.8	0.598	5.38
450	0.618	5.47
459.2	0.644	5.58
476.9	0.695	5.8
495.9	0.775	6.03
500	0.769	6.08
506.1	0.789	6.15
516.6	0.826	6.28
527.6	0.867	6.42
539.1	0.912	6.55
550	0.958	6.68
551	0.963	6.7
563.6	1.02	6.85
576.7	1.08	7
590.4	1.15	7.15
600	1.2	7.26
604.8	1.22	7.31
619.9	1.3	7.48
635.8	1.39	7.65
650	1.47	7.79
652.6	1.49	7.82
670.2	1.6	8.01
688.8	1.74	8.21
700	1.83	8.31
708.5	1.91	8.39
729.3	2.14	8.57
750	2.4	8.62
751.4	2.41	8.62
774.9	2.63	8.6
799.9	2.8	8.45
825	2.75	8.31
826.6	2.74	8.31
850	2.61	8.22
855.1	2.58	8.21
875	2.38	8.18
885.6	2.24	8.21
900	2.06	8.3
918.4	1.86	8.44
925	1.77	8.49
950	1.49	8.88
953.7	1.47	8.95
991.9	1.37	9.49
1000	1.35	9.58
1033	1.26	10
1078	1.21	10.6
1127	1.2	11.2
1181	1.21	11.8
1200	1.21	12
1240	1.21	12.5
1305	1.23	13.2
1378	1.26	14
1459	1.33	14.9
1500	1.38	15.4
1550	1.44	16
1653	1.59	17.1
1771	1.77	18.3
1907	1.99	19.8
2000	2.15	20.7
2065	2.27	21.4
2254	2.62	23.3
2480	3.07	25.6
2755	3.68	28.3
3000	4.24	30.6
3100	4.45	31.5
3306	4.88	33.4
3542	5.44	35.6
3815	6	38.1
4000	6.43	39.8
4133	6.76	41
4509	7.61	44.3
4959	8.59	48.2
5000	8.67	50
